starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:53:07 2023	1693741987	0	624	624	623
Sun Sep 03 19:53:06 2023	1693741986	0	624	625	624
Sun Sep 03 19:53:05 2023	1693741985	0	624	625	624
Sun Sep 03 19:53:05 2023	1693741985	0	625	625	624
Sun Sep 03 19:53:05 2023	1693741985	0	625	625	625
Sun Sep 03 19:53:04 2023	1693741984	0	625	625	625
Sun Sep 03 19:53:06 2023	1693741986	0	625	625	625
Sun Sep 03 19:53:07 2023	1693741987	0	625	625	625
Sun Sep 03 19:53:08 2023	1693741988	0	626	626	625
Sun Sep 03 19:53:05 2023	1693741985	0	626	626	625
Sun Sep 03 19:53:00 2023	1693741980	0	626	626	626
Sun Sep 03 19:53:08 2023	1693741988	0	626	626	626
Sun Sep 03 19:53:06 2023	1693741986	0	626	627	626
Sun Sep 03 19:53:05 2023	1693741985	0	627	627	626
Sun Sep 03 19:53:00 2023	1693741980	0	627	627	626
Sun Sep 03 19:53:01 2023	1693741981	0	627	627	626
Sun Sep 03 19:53:06 2023	1693741986	0	627	627	627
Sun Sep 03 19:53:06 2023	1693741986	0	628	628	628
Sun Sep 03 19:53:04 2023	1693741984	0	628	628	628
